N,count,dim,lower,max,mean,median,min,n_jobs,number,repeat,test,upper
100,3,5,2.0952145219780505,2.291399370878935,2.1862878294972083,2.1722495956346393,2.0952145219780505,1,1,3,joblib,2.291399370878935
100,3,5,0.9835980706848204,1.091868623625487,1.0247253732134898,0.998709425330162,0.9835980706848204,1,1,3,memory,1.091868623625487
100,3,5,1.1258968594484031,1.2392672719433904,1.1666438148046534,1.1347673130221665,1.1258968594484031,1,1,3,no,1.2392672719433904
100,3,5,2.0369623601436615,2.186383760999888,2.0908532893906036,2.0492137470282614,2.0369623601436615,2,1,3,joblib,2.186383760999888
100,3,5,0.9452188732102513,1.0037231501191854,0.9820356038399041,0.9971647881902754,0.9452188732102513,2,1,3,memory,1.0037231501191854
100,3,5,1.2042501610703766,1.2067952947691083,1.205298484613498,1.2048499980010092,1.2042501610703766,2,1,3,no,1.2067952947691083
100,3,5,2.0695976419374347,3.085898460354656,2.4615158351759114,2.229051403235644,2.0695976419374347,3,1,3,joblib,3.085898460354656
100,3,5,0.9630469726398587,1.014453386887908,0.9856097328787049,0.9793288391083479,0.9630469726398587,3,1,3,memory,1.014453386887908
100,3,5,1.1473171999678016,1.183264962863177,1.1600006797040503,1.149419876281172,1.1473171999678016,3,1,3,no,1.183264962863177
100,3,5,2.0756442160345614,2.2638442697934806,2.144928992881129,2.0952984928153455,2.0756442160345614,4,1,3,joblib,2.2638442697934806
100,3,5,0.959862174000591,1.0527074662968516,1.0164632994371157,1.036820258013904,0.959862174000591,4,1,3,memory,1.0527074662968516
100,3,5,1.1621221010573208,1.191579152829945,1.1805655430071056,1.1879953751340508,1.1621221010573208,4,1,3,no,1.191579152829945
1000,3,5,2.938423718791455,3.1284721731208265,3.0375780893179276,3.0458383760415018,2.938423718791455,1,1,3,joblib,3.1284721731208265
1000,3,5,1.5716173057444394,2.1058812187984586,1.804227046513309,1.7351826149970293,1.5716173057444394,1,1,3,memory,2.1058812187984586
1000,3,5,2.03535387897864,2.494410248938948,2.2822915948927402,2.317110656760633,2.03535387897864,1,1,3,no,2.494410248938948
1000,3,5,2.643759095109999,3.1116163041442633,2.891792873541514,2.92000322137028,2.643759095109999,2,1,3,joblib,3.1116163041442633
1000,3,5,1.8568788007833064,2.1093162619508803,1.9919419862950842,2.009630896151066,1.8568788007833064,2,1,3,memory,2.1093162619508803
1000,3,5,2.1962614241056144,2.3185834558680654,2.2716652364470065,2.3001508293673396,2.1962614241056144,2,1,3,no,2.3185834558680654
1000,3,5,2.4994164197705686,3.100418860092759,2.7260304780987403,2.578256154432893,2.4994164197705686,3,1,3,joblib,3.100418860092759
1000,3,5,1.522165601607412,1.8318646880798042,1.693062079604715,1.725155949126929,1.522165601607412,3,1,3,memory,1.8318646880798042
1000,3,5,1.9312663259916008,2.385147285182029,2.132654161347697,2.0815488728694618,1.9312663259916008,3,1,3,no,2.385147285182029
1000,3,5,2.748446076642722,3.5001272200606763,3.204885013246288,3.3660817430354655,2.748446076642722,4,1,3,joblib,3.5001272200606763
1000,3,5,1.895453202072531,2.3886339091695845,2.1039516273885965,2.027767770923674,1.895453202072531,4,1,3,memory,2.3886339091695845
1000,3,5,3.024212907999754,3.4756942531093955,3.1789522329345345,3.036949537694454,3.024212907999754,4,1,3,no,3.4756942531093955
10000,3,5,10.051295679993927,13.176673198118806,11.759323763816306,12.050002413336188,10.051295679993927,1,1,3,joblib,13.176673198118806
10000,3,5,8.7847968833521,11.62532035028562,10.184432761433223,10.143181050661951,8.7847968833521,1,1,3,memory,11.62532035028562
10000,3,5,10.025558630004525,12.134224880952388,10.918001514704278,10.594221033155918,10.025558630004525,1,1,3,no,12.134224880952388
10000,3,5,11.914172194898129,12.932458304334432,12.265396378313502,11.949558635707945,11.914172194898129,2,1,3,joblib,12.932458304334432
10000,3,5,10.35701611591503,10.535526340827346,10.426572459594658,10.387174922041595,10.35701611591503,2,1,3,memory,10.535526340827346
10000,3,5,9.944824689999223,12.915657307952642,11.212571494591733,10.777232485823333,9.944824689999223,2,1,3,no,12.915657307952642
10000,3,5,9.495554825291038,10.013646830804646,9.745739307409773,9.728016266133636,9.495554825291038,3,1,3,joblib,10.013646830804646
10000,3,5,8.713296343572438,9.666994648985565,9.04992940214773,8.769497213885188,8.713296343572438,3,1,3,memory,9.666994648985565
10000,3,5,9.031253188848495,9.392410876229405,9.191098369037112,9.149631042033434,9.031253188848495,3,1,3,no,9.392410876229405
10000,3,5,8.510168882086873,11.664800432045013,10.168522766015181,10.33059898391366,8.510168882086873,4,1,3,joblib,11.664800432045013
10000,3,5,8.575413869228214,10.280579581856728,9.544769893710813,9.778316230047494,8.575413869228214,4,1,3,memory,10.280579581856728
10000,3,5,8.28274967521429,10.09473444800824,9.364172841732701,9.715034401975572,8.28274967521429,4,1,3,no,10.09473444800824
100,3,10,2.1236835098825395,2.829409594181925,2.3800715133547783,2.1871214359998703,2.1236835098825395,1,1,3,joblib,2.829409594181925
100,3,10,0.9504674458876252,0.9642412499524653,0.9592191739939153,0.9629488261416554,0.9504674458876252,1,1,3,memory,0.9642412499524653
100,3,10,1.1319636087864637,1.1444399747997522,1.1375072052081425,1.1361180320382118,1.1319636087864637,1,1,3,no,1.1444399747997522
100,3,10,2.118266715668142,3.860462516080588,2.70651098433882,2.14080372126773,2.118266715668142,2,1,3,joblib,3.860462516080588
100,3,10,0.9523832243867218,0.9581069308333099,0.9560872291525205,0.9577715322375298,0.9523832243867218,2,1,3,memory,0.9581069308333099
100,3,10,1.1345542431809008,1.1421456011012197,1.1372546257140737,1.1350640328601003,1.1345542431809008,2,1,3,no,1.1421456011012197
100,3,10,2.132103222887963,2.176199033856392,2.1568414975578585,2.162222235929221,2.132103222887963,3,1,3,joblib,2.176199033856392
100,3,10,0.9548460282385349,0.9601229261606932,0.9571353367840251,0.956437055952847,0.9548460282385349,3,1,3,memory,0.9601229261606932
100,3,10,1.142825725954026,1.154067472089082,1.1475069615989923,1.145627686753869,1.142825725954026,3,1,3,no,1.154067472089082
100,3,10,2.130186703056097,2.1652538860216737,2.142501080253472,2.132062651682645,2.130186703056097,4,1,3,joblib,2.1652538860216737
100,3,10,0.9580993708223104,0.9692747998051345,0.9649240866613885,0.9673980893567204,0.9580993708223104,4,1,3,memory,0.9692747998051345
100,3,10,1.1439617122523487,1.1535164760425687,1.148262923117727,1.1473105810582638,1.1439617122523487,4,1,3,no,1.1535164760425687
1000,3,10,2.8012320692650974,3.663910451810807,3.1090309810824692,2.8619504221715033,2.8012320692650974,1,1,3,joblib,3.663910451810807
1000,3,10,1.6130637950263917,1.8283559689298272,1.6864556367509067,1.6179471462965012,1.6130637950263917,1,1,3,memory,1.8283559689298272
1000,3,10,2.082184842787683,2.288325471803546,2.203294842814406,2.2393742138519883,2.082184842787683,1,1,3,no,2.288325471803546
1000,3,10,2.560105092357844,2.5960434889420867,2.580139690389236,2.5842704898677766,2.560105092357844,2,1,3,joblib,2.5960434889420867
1000,3,10,1.5458498769439757,1.8046909738332033,1.6423372455562155,1.5764708858914673,1.5458498769439757,2,1,3,memory,1.8046909738332033
1000,3,10,1.828067125286907,2.186032781843096,1.9891641563735902,1.9533925619907677,1.828067125286907,2,1,3,no,2.186032781843096
1000,3,10,2.562546778935939,3.039170764852315,2.7214323836378753,2.5625796071253717,2.562546778935939,3,1,3,joblib,3.039170764852315
1000,3,10,1.7227955251000822,1.8110455740243196,1.7642701362880568,1.7589693097397685,1.7227955251000822,3,1,3,memory,1.8110455740243196
1000,3,10,2.005617280025035,2.2552473647519946,2.1179223915872476,2.0929025299847126,2.005617280025035,3,1,3,no,2.2552473647519946
