N,dim,fit_intercept,lib,max,max3,mean,median,method,min,min3,repeat
1,1,True,skl,0.00015110999811440706,9.981699986383319e-05,7.779356761602685e-05,7.464599912054837e-05,predict,7.249499321915209e-05,7.289400673471391e-05,100
1,1,True,skl,0.000125399004900828,0.00011774699669331312,9.398417052580043e-05,9.126801160164177e-05,predict_proba,8.844799594953656e-05,8.93179967533797e-05,100
1,1,True,ort,0.00011153498780913651,4.8843008698895574e-05,3.307966951979324e-05,3.1477000447921455e-05,predict,3.0446011805906892e-05,3.0468014301732183e-05,100
1,1,True,ort,6.425697938539088e-05,4.3042993638664484e-05,3.480630140984431e-05,3.3851509215310216e-05,predict_proba,3.3585994970053434e-05,3.364597796462476e-05,100
10,1,True,skl,0.00010452099377289414,0.00010002299677580595,7.551375980256125e-05,7.241099956445396e-05,predict,7.182601257227361e-05,7.195500074885786e-05,100
10,1,True,skl,0.00011643097968772054,0.00011426099808886647,9.369978128233925e-05,9.100900206249207e-05,predict_proba,9.007699554786086e-05,9.042301098816097e-05,100
10,1,True,ort,8.057398372329772e-05,4.363199695944786e-05,3.4664789272937926e-05,3.3438001992180943e-05,predict,3.296401700936258e-05,3.310400643385947e-05,100
10,1,True,ort,6.190099520608783e-05,5.658701411448419e-05,4.632806143490598e-05,4.510500002652407e-05,predict_proba,4.471102147363126e-05,4.475601599551737e-05,100
1,1,False,skl,0.00016880498151294887,0.00010248698526993394,7.786682079313322e-05,7.482249930035323e-05,predict,7.254601223394275e-05,7.276702672243118e-05,100
1,1,False,skl,0.00013431799015961587,0.00010996899800375104,9.331319946795702e-05,9.150701225735247e-05,predict_proba,8.894898928701878e-05,9.091399260796607e-05,100
1,1,False,ort,0.00010892300633713603,4.384398926049471e-05,3.304399928310886e-05,3.166949318256229e-05,predict,3.0354014597833157e-05,3.061298048123717e-05,100
1,1,False,ort,4.817100125364959e-05,4.138899384997785e-05,3.402903937967494e-05,3.3821503166109324e-05,predict_proba,3.260100493207574e-05,3.2666983315721154e-05,100
10,1,False,skl,0.00010431598639115691,9.887598571367562e-05,7.572257774882018e-05,7.446100062225014e-05,predict,7.177900988608599e-05,7.20630050636828e-05,100
10,1,False,skl,0.0001194999786093831,0.00011471399920992553,9.232369076926261e-05,9.070250962395221e-05,predict_proba,8.75759869813919e-05,8.781300857663155e-05,100
10,1,False,ort,7.50740000512451e-05,6.043701432645321e-05,3.420402994379401e-05,3.2439493224956095e-05,predict,3.20610124617815e-05,3.217998892068863e-05,100
10,1,False,ort,6.182800279930234e-05,5.7989993365481496e-05,4.5253007556311786e-05,4.465448728296906e-05,predict_proba,4.419899778440595e-05,4.437699681147933e-05,100
1,5,True,skl,0.0001679419947322458,9.429300553165376e-05,7.798724254826084e-05,7.50150065869093e-05,predict,7.285902393050492e-05,7.442600326612592e-05,100
1,5,True,skl,0.00011793701560236514,0.00011091498890891671,9.344744001282379e-05,9.144601062871516e-05,predict_proba,8.840300142765045e-05,8.843501564115286e-05,100
1,5,True,ort,8.896901272237301e-05,4.2019004467874765e-05,3.30743205267936e-05,3.127699892502278e-05,predict,3.081499016843736e-05,3.0907976906746626e-05,100
1,5,True,ort,4.687998443841934e-05,4.324398469179869e-05,3.478825994534418e-05,3.3752003218978643e-05,predict_proba,3.3418997190892696e-05,3.352199564687908e-05,100
10,5,True,skl,0.00010213101631961763,8.826199336908758e-05,7.520845014369115e-05,7.35695066396147e-05,predict,7.311900844797492e-05,7.324898615479469e-05,100
10,5,True,skl,0.00011350199929438531,9.820499690249562e-05,9.024555009091274e-05,8.939999679569155e-05,predict_proba,8.832398452796042e-05,8.888900629244745e-05,100
10,5,True,ort,5.557300755754113e-05,4.24790196120739e-05,3.339720977237448e-05,3.283348632976413e-05,predict,3.2445008400827646e-05,3.24930006172508e-05,100
10,5,True,ort,6.037301500327885e-05,5.339202471077442e-05,4.543109040241688e-05,4.5049499021843076e-05,predict_proba,4.466899554245174e-05,4.4818007154390216e-05,100
1,5,False,skl,0.0001432879944331944,9.8232994787395e-05,7.6723639795091e-05,7.490250573027879e-05,predict,7.245800225064158e-05,7.267002365551889e-05,100
1,5,False,skl,0.00011384498793631792,0.00011119499686174095,8.981674036476762e-05,8.890099707059562e-05,predict_proba,8.830797742120922e-05,8.840998634696007e-05,100
1,5,False,ort,8.579299901612103e-05,4.0157989133149385e-05,3.181302105076611e-05,3.070398815907538e-05,predict,3.037002170458436e-05,3.0436989618465304e-05,100
1,5,False,ort,4.7119014197960496e-05,4.460097989067435e-05,3.345777979120612e-05,3.2948009902611375e-05,predict_proba,3.2618991099298e-05,3.274198388680816e-05,100
10,5,False,skl,0.00010756900883279741,8.903199341148138e-05,7.463031128281728e-05,7.3536008130759e-05,predict,7.300599827431142e-05,7.314200047403574e-05,100
10,5,False,skl,0.00013654999202117324,0.00011192102101631463,9.226724912878126e-05,8.999049896374345e-05,predict_proba,8.888199226930737e-05,8.899299427866936e-05,100
10,5,False,ort,5.6791992392390966e-05,5.157801206223667e-05,3.425273083848879e-05,3.2786992960609496e-05,predict,3.245600964874029e-05,3.249399014748633e-05,100
