N,dim,max,max3,mean,median,min,min3,repeat,test
10,5,0.0010002940000006788,0.000400196000001074,0.00020212497999997581,0.000170666500000749,0.0001663210000000248,0.0001667150000006501,100,SGD-ONLY
10,5,0.001491748999999487,0.000705577999999818,0.0003297295299998737,0.000263702999999893,0.0002461220000000708,0.0002473089999988076,100,SGD-SKL
10,5,0.0006751590000000363,0.0005858749999987367,0.00026762999999997207,0.00022143149999998002,0.0002168880000006368,0.00021728300000134482,100,SGD-FAST
10,5,0.0005949619999991995,0.0005609859999999856,0.0003768761499999229,0.0003604929999996287,0.0003413319999996389,0.00034172799999865333,100,SGD-SLOW
100,5,0.0005894309999998626,0.0004314070000006609,0.00021658412999988385,0.00019417200000049206,0.00019002400000012187,0.00019081399999976156,100,SGD-ONLY
100,5,0.0007130850000010014,0.0005135789999997087,0.000312414130000036,0.0002895800000004556,0.00028562900000039804,0.0002860239999993297,100,SGD-SKL
100,5,0.0006155039999988787,0.00047683799999909127,0.00029284268999999694,0.00025086350000069757,0.0002449379999998058,0.00024533300000051383,100,SGD-FAST
100,5,0.0010014790000010265,0.000740344000000448,0.00042487209000013237,0.0003830115000003076,0.0003725420000009194,0.0003733320000005591,100,SGD-SLOW
1000,5,0.0011583179999998805,0.0007498249999997597,0.00045544980000014943,0.0004365425000001366,0.0004005910000000057,0.00040375200000042355,100,SGD-ONLY
1000,5,0.0016367370000001102,0.0012104659999998546,0.0007008536499998996,0.0006633069999999464,0.0006214300000007,0.0006226160000011305,100,SGD-SKL
1000,5,0.000882565999999585,0.0008106640000011822,0.0006199017399997331,0.0006085909999997696,0.0005696769999996576,0.0005732329999990071,100,SGD-FAST
1000,5,0.001978068999999749,0.001654515000000245,0.0008559110200000397,0.0007614795000003838,0.0007028130000001909,0.0007051839999991927,100,SGD-SLOW
10,10,0.0009272080000002347,0.0006522459999995789,0.0002080035200000019,0.00017264200000077778,0.0001690859999996519,0.00016987600000106795,100,SGD-ONLY
10,10,0.0007897260000007122,0.000675948999999676,0.00035955273999993764,0.0003000485000006492,0.000270616999999973,0.0002721969999992524,100,SGD-SKL
10,10,0.00041639400000015314,0.00032948099999963176,0.00025054754999995763,0.000235850999999343,0.00023229600000007622,0.0002330859999997159,100,SGD-FAST
10,10,0.0014767370000008384,0.001234959999999674,0.0007316960400000738,0.0006767390000002038,0.0006281470000004674,0.0006340720000004296,100,SGD-SLOW
100,10,0.0004041469999993552,0.0003808389999999662,0.00022472637999996437,0.0002081969999991884,0.00020464099999983887,0.00020543099999947856,100,SGD-ONLY
100,10,0.0016193540000006834,0.0011468609999987223,0.0004563899800000115,0.000366221500001096,0.00034607299999933616,0.0003468630000007522,100,SGD-SKL
100,10,0.0010864179999998669,0.0005534799999988849,0.00033957846999998153,0.00031012250000017616,0.00030459199999910425,0.00030538199999874394,100,SGD-FAST
100,10,0.0015067619999999948,0.0013633540000004274,0.0008240138400000418,0.0007595044999995082,0.0007091339999991675,0.0007162450000013365,100,SGD-SLOW
1000,10,0.0016288360000000779,0.001288292999999996,0.0006252508799998502,0.0005817270000001429,0.0005337269999987626,0.0005368869999990977,100,SGD-ONLY
1000,10,0.002055501000000959,0.0017086379999984302,0.001116892160000109,0.001020244500000267,0.0009651340000011999,0.0009678989999990506,100,SGD-SKL
1000,10,0.0019239459999997877,0.001506760999999912,0.0009974731599998066,0.0009528864999994724,0.0009019239999989992,0.0009046890000004026,100,SGD-FAST
1000,10,0.0038680400000004056,0.002876436999999399,0.0017418032699999663,0.0015689845000004254,0.0014633059999997755,0.0014692320000015968,100,SGD-SLOW
10,50,0.00038873999999999853,0.0003452839999997792,0.00023953723000001757,0.0002311109999997285,0.00021886400000070694,0.0002200489999992783,100,SGD-ONLY
10,50,0.0012033559999995447,0.0009599979999990182,0.0005911017999999224,0.0005578259999996504,0.0005297760000004814,0.0005317520000005516,100,SGD-SKL
10,50,0.0013653300000004975,0.001134219000000769,0.000610783760000011,0.0005392580000007641,0.00048473999999920636,0.0004859249999995541,100,SGD-FAST
10,50,0.02245288599999995,0.01959066900000117,0.011564820019999953,0.010220025499999785,0.009144866999999834,0.009381509000000676,100,SGD-SLOW
100,50,0.0037230530000016415,0.0017062680000012875,0.000845844949999961,0.0007245414999994537,0.00062617200000048,0.0006384189999995016,100,SGD-ONLY
100,50,0.004877419999999688,0.004148138999999773,0.0027110059200001224,0.002487302999999663,0.0019820199999998067,0.0020203409999997035,100,SGD-SKL
100,50,0.007075538999998798,0.0035832009999996473,0.002357450199999942,0.00209145200000016,0.0019045880000003734,0.0019239459999997877,100,SGD-FAST
100,50,0.04933993299999884,0.02833731499999992,0.014789187689999874,0.012748216500000353,0.011593453999999781,0.012036316999999741,100,SGD-SLOW
1000,50,0.0090713849999986,0.007822993000001333,0.00585074760000019,0.005515048500000397,0.005017271999999906,0.005064680000000266,100,SGD-ONLY
1000,50,0.07083360999999755,0.028705117000001223,0.020110352269999864,0.01868894300000079,0.016194331999997758,0.016387122000001142,100,SGD-SKL
1000,50,0.03324001999999737,0.03118412400000281,0.018917525550000213,0.016892602000000423,0.01585418500000202,0.01599245499999924,100,SGD-FAST
1000,50,0.0929447680000024,0.06862442999999985,0.040833317530000066,0.0370663810000007,0.03382905499999822,0.03420515300000204,100,SGD-SLOW
